,level_0,index,Unnamed: 0,company_name,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,high_paid,is_high_level,ds_in_name,ml_in_name,lab_in_name,analyst_in_name,engineer_in_name,dev_in_name,tech_in_name,rating_cat,expensive_city,analysis,analytics,company,data,experience,health,learning,looking,machine,public,research,scientist,scientists,team,work,analyst_tit,data_tit,developer_tit,engineer_tit,engineering_tit,lead_tit,learning_tit,machine_tit,manager_tit,quantitative_tit,research_tit,science_tit,scientist_tit,senior_tit,software_tit
94,94,1715,6718,DEPT OF ENVIRONMENT PROTECTION,0.0,"New York, NY",,"The ideal candidate is proficient in water quality statistical analysis including but not limited to spatiotemporal analyses, seasonal trends, multivariate...",Water Quality Analyst,http://www.indeed.com/rc/clk?jk=1f681a9042f26dd9&fccid=aecd821ecd9d7d8a,yearly,79249.5,0,7-12 days ago,1,49,0,0,0,0,0,1,0,0,0,no_rating,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,1732,6745,Jobspring Partners,14.0,"New York, NY",3.25,"Right now, this rapidly expanding division is seeking a Senior Data Scientist who has a strong background in machine learning....",Expert in Machine Learning at Consumer Banking Company,http://www.indeed.com/rc/clk?jk=4378aed95729515a&fccid=4a2d2fbadf14d480,yearly,175000.0,0,1-6 days ago,1,51,1,0,0,1,0,0,0,0,0,low_rating,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
96,96,1741,6759,Smith Arnold Partners,0.0,"New York, NY",,The Research Analyst will manage all aspects of the custom research process from brainstorming to presentations for a variety of industries and clients....,Research Analyst,http://www.indeed.com/rc/clk?jk=30d1c2614d0b2057&fccid=d636fa6071fa7b2f,yearly,57500.0,0,13-18 days ago,1,52,0,0,0,0,0,1,0,0,0,no_rating,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,97,1755,6778,Animalz,0.0,"New York, NY",,"To apply, please send us an email with [Research Analyst] in the subject. Copyedit articles before we send them to the customer (you will be the final eyes)....",Research Analyst,http://www.indeed.com/cmp/Animalz-Inc./jobs/Research-Analyst-aa3f2c10954032d4?r=1&fccid=4fdccf768669da25,yearly,40000.0,0,13-18 days ago,1,53,0,0,0,0,0,1,0,0,0,no_rating,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,98,1761,6789,Averity,0.0,"New York, NY",,"As a Tableau Developer in our Data Science team, you will work in collaboration with our data scientists, QA engineers, software developers and business...",Tableau Developer for Global Organization,http://www.indeed.com/rc/clk?jk=7f3667f0c679a5cf&fccid=39407476605079e0,yearly,80000.0,0,1-6 days ago,1,54,0,0,0,0,0,0,0,1,0,no_rating,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,99,1774,6807,POLICE DEPARTMENT,33.0,"New York, NY",4.25,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools. For Assignment Level I (only physical, biological and...","CITY RESEARCH SCIENTIST, LEVEL II",http://www.indeed.com/rc/clk?jk=290eca25bcf8b0ce&fccid=c36431f1d989663b,yearly,76941.5,0,more than 30 days ago,1,55,0,0,0,0,0,0,0,0,0,high_rating,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
100,100,1788,6831,Columbia University,464.0,"New York, NY",4.34999975,The qualified individual will be responsible for providing technical support to the research staff (senior scientists and postdoctoral fellows) by performing...,Senior Technician - CLM,http://www.indeed.com/rc/clk?jk=5ea3e51467a6e371&fccid=bd976cc171c690e0,weekly,46072.0,0,more than 30 days ago,1,57,0,1,0,0,0,0,0,0,1,high_rating,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,101,1796,6839,Artemis Consultants,0.0,"New York, NY",,"Aptitude for working on a team with highly technical data scientists, data architects and IT experts. You will apply your leadership experience, high energy...",Corporate Vice President – Program Management,http://www.indeed.com/rc/clk?jk=eed0af3a8579de7b&fccid=184478cd3d259fac,yearly,195000.0,0,7-12 days ago,1,57,1,1,0,0,0,0,0,0,0,no_rating,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,1805,6853,Harnham,0.0,"New York, NY",,You will join the data engineering team and work closely with the data scientists as well. Interest in data analysis and the desire to explore data for insights...,Big Data Engineer,http://www.indeed.com/rc/clk?jk=76cae6bca6d3fa12&fccid=d72eb0548d91249c,yearly,110000.0,0,more than 30 days ago,1,58,1,0,0,0,0,0,1,0,0,no_rating,1,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
103,103,1832,6896,Green Key Resources,28.0,"New York, NY",4.40000025,"Represent the department locally in the US, liaising with the Federal Reserve on any methodological matters and acting as a subject matter expert....",Quantitative Analyst,http://www.indeed.com/rc/clk?jk=7b42212e52dcf436&fccid=f9df97a5b5c014ec,yearly,195000.0,0,more than 30 days ago,1,61,1,0,0,0,0,1,0,0,0,high_rating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
